#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_61,205,99,18,382,27,9,3,0,17,126,228,28,14,0,14,17,50,10,80,31,31,0,93,15,0,116,62,86,451,130,0,5,3,8,90,0,127,165,0,147,256,90,334,115,40
OTU_65,0,0,0,0,0,18,24,81,13,102,403,323,14,0,148,14,11,16,132,13,30,0,17,87,59,221,206,65,141,54,154,75,42,32,56,0,232,16,0,48,91,35,52,115,35
OTU_22,26,41,180,276,127,93,200,206,136,404,0,0,0,0,0,14,9,42,38,25,25,0,44,13,120,472,549,1780,367,895,200,124,157,100,711,0,0,0,0,0,135,83,67,57,35
OTU_529,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,88,199,45,126,40,27,0,9,74,142,22,21,37,12,7,21,28,21,46,31,0,12,6,0,59,93,96,53,101,166
OTU_70,0,0,0,0,0,90,18,42,65,35,0,0,0,0,0,393,161,57,215,118,24,0,40,109,27,107,169,143,87,45,64,76,57,58,35,0,32,34,0,32,0,0,0,0,0
OTU_104,0,0,0,0,0,13,24,25,6,24,0,0,0,0,0,82,10,34,107,63,23,0,16,116,69,12,42,64,20,21,5,24,14,16,15,0,0,0,0,0,26,15,46,134,32
OTU_63,0,7,4,0,0,26,3,3,9,13,4,3,2,0,9,68,90,67,29,69,26,0,28,107,104,30,42,46,95,145,39,11,41,40,33,0,8,61,0,42,191,153,34,122,462
OTU_75,0,0,0,0,0,47,6,21,14,14,0,0,0,0,0,0,0,0,0,0,17,0,36,30,21,0,61,0,0,0,133,125,248,200,87,0,49,52,0,27,0,0,0,0,0
OTU_574,324,330,131,202,256,163,211,48,101,36,23,15,12,0,7,150,48,49,29,203,23,0,35,32,105,101,135,36,73,82,60,58,33,16,29,0,122,81,0,73,100,41,79,112,53
OTU_94,0,0,0,0,0,87,72,28,16,44,0,0,0,0,0,65,177,100,79,61,12,0,32,19,29,9,38,18,28,22,2,4,14,3,3,0,29,70,0,23,0,0,0,0,0
OTU_109,54,22,16,100,101,27,65,64,19,122,40,26,26,0,33,11,13,8,21,21,18,0,10,32,142,160,143,197,53,33,43,34,60,24,27,0,20,15,0,177,269,91,62,72,55
OTU_98,4,177,9,12,7,26,5,21,37,92,127,6,25,0,12,6,4,19,6,114,8,0,9,77,51,9,51,29,17,18,0,3,5,14,2,0,71,70,0,7,20,5,6,52,19
OTU_100,18,8,10,7,2,35,21,8,24,6,15,12,0,0,6,26,41,22,29,12,7,0,10,44,5,4,17,2,8,5,0,9,31,19,21,0,9,14,0,10,16,45,67,49,155
OTU_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,24,14,63,57,294,166,66,0,0,0,0,0,0,28,7,0,4,0,0,0,0,0
OTU_389,16,9,11,60,5,4,4,2,0,2,169,112,60,0,70,24,61,14,163,83,7,0,2,2,0,24,79,50,32,6,116,66,88,261,70,0,354,31,0,15,15,5,0,2,2
OTU_69,0,0,0,0,0,28,2,68,15,78,0,0,0,0,0,14,9,21,223,0,5,0,7,21,52,147,91,287,238,333,120,116,176,84,212,0,13,0,0,8,0,0,0,0,0
OTU_85,27,92,48,191,116,13,45,33,22,150,149,147,393,0,101,3,14,10,20,10,10,0,15,24,242,182,155,254,89,44,182,105,181,150,135,0,0,2,0,113,289,82,25,16,28
OTU_41,0,3,27,94,23,0,0,0,0,0,317,27,888,0,46,0,0,3,2,0,5,0,6,8,22,634,853,912,379,273,165,98,132,43,194,0,74,89,0,263,54,28,36,161,0
OTU_24,12,2,2,5,0,368,1550,383,0,3,0,0,0,0,0,67,8,13,7,7,4,0,0,25,2,0,3,0,5,2,49,58,46,0,33,0,0,0,0,5,5,0,3,5,0
OTU_87,68,3,0,9,0,28,208,7,0,6,0,0,2,0,0,6,5,0,0,13,4,0,0,0,0,22,38,6,83,3,0,0,0,3,0,0,35,9,0,31,0,0,2,0,2
